category,points,question,answer
Candy Corner,100,This red and white striped candy is shaped like a hook and tastes like peppermint.,What is a candy cane?
Candy Corner,200,These colorful, chewy bears come in different flavors and you can bite their heads off!,What are gummy bears?
Candy Corner,300,This chocolate bar has the same name as a galaxy where Earth is located.,What is a Milky Way?
Candy Corner,400,This candy bar is named after a baseball player and contains peanuts and caramel.,What is a Baby Ruth?
Candy Corner,500,This candy comes in dark, milk, and white varieties and melts in your mouth.,What is chocolate?
Pet Pals,100,This animal says 'woof' and is called man's best friend.,What is a dog?
Pet Pals,200,This pet purrs when it's happy and likes to chase mice.,What is a cat?
Pet Pals,300,This small pet runs on a wheel and stores food in its cheeks.,What is a hamster?
Pet Pals,400,This colorful bird can learn to talk and repeat words you teach it.,What is a parrot?
Pet Pals,500,This pet lives in water, has scales, and breathes through gills.,What is a fish?
Fun Places,100,This place has swings, slides, and monkey bars where kids love to play.,What is a playground?
Fun Places,200,This place has sand and waves where you can build castles and swim.,What is a beach?
Fun Places,300,This place has animals from around the world that you can visit and learn about.,What is a zoo?
Fun Places,400,This place has roller coasters, games, and cotton candy for a fun day out.,What is an amusement park?
Fun Places,500,This indoor place has books you can borrow and quiet areas for reading.,What is a library?
Playground Games,100,In this game, one person is 'it' and tries to touch the other players.,What is tag?
Playground Games,200,This game involves hiding while one person counts to ten and then tries to find you.,What is hide and seek?
Playground Games,300,In this jumping game, you throw a stone and hop through numbered squares.,What is hopscotch?
Playground Games,400,This game is like baseball but you kick a big rubber ball instead of hitting it with a bat.,What is kickball?
Playground Games,500,In this rope game, two people turn the rope while others jump in and try to jump without getting caught.,What is jump rope (or Double Dutch)?
Summer Camp Fun,100,You sleep in this when you're camping outdoors under the stars.,What is a tent?
Summer Camp Fun,200,You roast these white puffy treats over a campfire to make s'mores.,What are marshmallows?
Summer Camp Fun,300,This activity involves paddling through water in a small boat.,What is canoeing (or kayaking)?
Summer Camp Fun,400,This nighttime activity involves looking for hidden objects using a flashlight.,What is a treasure hunt (or scavenger hunt)?
Summer Camp Fun,500,This camp activity involves tying knots and working together to climb up walls or trees.,What is rock climbing (or rope climbing)?
Movie Magic,100,This Disney movie features a princess with long golden hair trapped in a tower.,What is Tangled?
Movie Magic,200,In this Pixar movie, toys come to life when humans aren't around.,What is Toy Story?
Movie Magic,300,This movie is about a young lion who becomes king of the Pride Lands.,What is The Lion King?
Movie Magic,400,This Disney movie features two sisters, one with ice powers, and the song 'Let It Go'.,What is Frozen?
Movie Magic,500,This movie follows a young Polynesian girl who sails across the ocean to save her island.,What is Moana?
